Başlık,Yayınevi,Yazar,İndirimli Fiyat (TL),İndirimsiz Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Kan Mevsimi,Ephesus Yayınları,Ekin S. Koch,252.85,389.00,35,5.0
Yavaşlığın Önemini Anlayan Salyangozun Hikayesi,Everest Yayınları,Luis Sepulveda,146.25,225.00,35,0.0
Ötanazi Okulu 3,Ephesus Yayınları,Maral Atmaca,239.85,369.00,35,5.0
Yüz Karası,Martı Yayınları,Brittainy Cherry,175.00,350.00,50,Yok
Siyam,Epsilon Yayınevi,Beyza Aksoy,416.50,595.00,30,Yok
Karanlığın Şehri,İndigo Kitap,Şule Avlamaz,215.40,359.00,40,5.0
Serenad,İnkılap Kitabevi,Zülfü Livaneli,287.00,410.00,30,Yok
Hayat Kaybettiğin Yerden Başlar,İndigo Kitap,Miraç Çağrı Aktaş,156.00,260.00,40,Yok
Karantina: Üçüncü Perde,İndigo Kitap,Beyza Alkoç,197.40,329.00,40,Yok
Mai ve Siyah Günümüz Türkçesiyle,İş Bankası Kültür Yayınları,Halit Ziya Uşaklıgil,57.60,96.00,40,Yok
Alice Harikalar Diyarında Kısaltılmış Metin,İş Bankası Kültür Yayınları,Lewis Carroll,26.40,44.00,40,5.0
Günübirlik Hayatlar,Pegasus Yayınları,Irvin D. Yalom,194.99,299.98,35,4.5
BADEM AĞACI,Pegasus Yayınları,Michele Cohen Corasanti,227.50,350.00,35,Yok
Büyük Defter - Kanıt - Üçüncü Yalan,Yapı Kredi Yayınları,Agota Kristof,150.00,250.00,40,4.5
Hizmetçinin Günlüğü,Juno Kitap,Loreth Anne White,193.70,298.00,35,Yok
Daisy Darker,Yabancı Yayınları,Alice Feeney,168.00,280.00,40,Yok
Onsra 3 - Kam,Dokuz Yayınları,Gökçen Koçan,216.00,360.00,40,5.0
Buzdan Kıvılcım Zirve Ötesi Serisi - 1,İndigo Kitap,Adora Yağmur,197.40,329.00,40,5.0
Cursed,Ephesus Yayınları,Marissa Meyer,252.85,389.00,35,5.0
Ayı Dönüyor,Genç Timaş,Hannah Gold,166.95,265.00,37,5.0
17 Numara Serisi Kutulu,Artemis Yayınları,Fatma Şamata,841.75,1.295.00,35,Yok
Cellat ve Karakuş,Juno Kitap,Brynne Weaver,193.70,298.00,35,5.0
Pandora’nın Kalbi 1 - Hediyeli Özel Kutu,Ephesus Yayınları,Dilara Keskin,337.35,519.00,35,Yok
Sokak Nöbetçileri: Karakter Günlükleri 7 Kitap,İndigo Kitap,Aslı Arslan,625.80,1.043.00,40,5.0
Siyam,Epsilon Yayınevi,Beyza Aksoy,311.50,445.00,30,5.0
Ruh Adam,Ötüken Neşriyat,Hüseyin Nihal Atsız,162.50,250.00,35,5.0
Ayrılık Sevdaya Dahil,İş Bankası Kültür Yayınları,Attila İlhan,150.00,250.00,40,5.0
Dansa Davet,Sel Yayıncılık,Jean Teule,105.00,150.00,30,Yok
Ateş ve Kan,Epsilon Yayınevi,George R. R. Martin,486.50,695.00,30,4.5
İnsancıklar,Can Yayınları,Fyodor Mihayloviç Dostoyevski,78.00,130.00,40,Yok
İntibah Günümüz Türkçesiyle - Tam Metin,İş Bankası Kültür Yayınları,Namık Kemal,45.60,76.00,40,Yok
BİR KUZEY MACERASI,İş Bankası Kültür Yayınları,Jack London,30.00,50.00,40,Yok
Cam Şato 1,Dex Yayınevi,Sarah J. Maas,364.00,520.00,30,Yok
VİŞNE BAHÇESİ,İş Bankası Kültür Yayınları,Anton Pavloviç Çehov,43.20,72.00,40,Yok
Bir Kadının Yaşamından Yirmi Dört Saat,İş Bankası Kültür Yayınları,Stefan Zweig,30.00,50.00,40,Yok
Kırmızı Pazartesi,Can Yayınları,Gabriel García Márquez,126.00,210.00,40,Yok
Bin Muhteşem Güneş,Everest Yayınları,Khaled Hosseini,289.25,445.00,35,Yok
Doksan Artı Dört - 2,Pukka Yayınları,Gülben Sakar,203.40,339.00,40,5.0
Bir Kibritle Yok Olmak 1 Ciltli Özel Baskı,Guardian,Özge Naz,287.40,479.00,40,5.0
Tırpan,Juno Kitap,Neal Shusterman,193.70,298.00,35,5.0
İki Çarpık Taç,Olimpos Yayınları,Rachel Gillig,269.50,490.00,45,5.0
Karanlığın Şehri 3,İndigo Kitap,Şule Avlamaz,221.40,369.00,40,5.0
Maça Kızı 8 - 3. Kitap,Artemis Yayınları,Dilara Pamuk,291.20,448.00,35,Yok
Hepimiz Gökyüzü Olmak İstedik 2.5 Ejderha ve Yıldız - Ciltli,Dex Yayınevi,N. G. Kabal,245.00,350.00,30,5.0
İkimizin Yıkımı,Martı Yayınları,Brittainy Cherry,147.50,295.00,50,5.0
Ay Çarpması,Artemis Yayınları,Sezen Aksın,217.75,335.00,35,5.0
Çarpık Nefret,Martı Yayınları,Ana Huang,197.50,395.00,50,5.0
