Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Kaderin Sessiz Fısıltısı,Baygenç Yayıncılık,Barçinoy Obidova,90.00,61.20,Yok,0.0
Cemil Sıdki ez-Zehavi’nin Şiirlerinde Kadın,Fecr Yayınları,Murat Güler,380.00,296.40,Yok,0.0
Safkan,Kairos Kitap,Geraldine Brooks,349.00,191.95,Yok,0.0
Mavi Nasıl Eserse,Vapur Yayınları,Gizem Pınar Karaboğa,150.00,102.00,Yok,0.0
Son Mektup,Olimpos Yayınları,Rebecca Yarros,349.00,191.95,Yok,0.0
Mezarlık,Tulu Kitap,Melih Bahaddin Küçük,160.00,124.80,Yok,0.0
Onu Beklerken,Telve Kitap,Halid Ziya Uşaklıgil,200.00,156.00,Yok,0.0
Sana Teslim Oldum,Olimpos Yayınları,Rebecca Yarros,320.00,176.00,Yok,0.0
Dönüş,Olimpos Yayınları,Lauren Asher,349.00,191.95,Yok,0.0
Bizim Nesibe,Elips Kitap,Memduh Şevket Esendal,290.00,197.20,Yok,0.0
Kördüğüm: Adile,Ephesus Yayınları,Selma Ünlü,359.00,233.35,Yok,0.0
Türk Mitolojisinin Alevi-Bektaşi Menkıbelerindeki İzleri,Paradigma Akademi Yayınları,Muhammet Faruk Ekici,750.00,600.00,Yok,0.0
Kültürlerarasılık ve Filoloji,Paradigma Akademi Yayınları,Kolektif,350.00,280.00,Yok,0.0
Adını Aşk Koyduk,Telve Kitap,Kürşat Yozcu,180.00,140.40,Yok,0.0
Disney Prenses Kilala - 1,Beta Byou,Rika Tanaka,189.00,94.50,Yok,0.0
Disney Prenses Kilala - 2,Beta Byou,Rika Tanaka,189.00,94.50,Yok,0.0
"Somut Olmayan Kültürel Miras Bağlamında Yaşayan İnsan Hazinesi Aşık Maksut Feryadı Hayatı, Sanatı ve Eserleri",Paradigma Akademi Yayınları,Fazıl Özdamar,500.00,400.00,Yok,0.0
Witch 3. Bölüm: İki Dünyada Birden Kriz 1. Kısım,Beta Byou,Elisabetta Gnone,349.50,174.75,Yok,0.0
Solgun Demet,Telve Kitap,Halid Ziya Uşaklıgil,250.00,195.00,Yok,0.0
