Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Hayat Provası,Alaska Yayınevi,Fatmagül Tanış,150.00,132.00,Yok,0.0
Hikayeleri İle Söylenmemiş Şarkılar,Fısıldayan Kalemler Yayınevi,Nurgül Kayhan,180.00,158.40,Yok,0.0
Bir Yerim Kanıyor Onay Dolu Bakışlar,Sokak Kitapları Yayınları,Efsun Altay,202.00,127.26,Yok,0.0
M Harfinden Kuşlar,Metinlerarası Kitap,Doğuş Benli,160.00,116.80,Yok,0.0
8 Sayfalık Şiir,Sokak Kitapları Yayınları,Gökhan Darıcı,120.00,75.60,Yok,0.0
Geriye Kalan,Sokak Kitapları Yayınları,Adem Tulu,150.00,94.50,Yok,0.0
Adı Yok,Sokak Kitapları Yayınları,Aykut Yılmaz,140.00,88.20,Yok,0.0
Şimşeğin Gözyaşı,Türk Dil Kurumu Yayınları,Samsak Stanaliyev,790.00,616.20,Yok,0.0
Kaza,Türk Dil Kurumu Yayınları,İsmail Bozkurt,210.00,163.80,Yok,0.0
Toplum Sözleşmesi 2.0,Lando Yayınları,Kaan Koç,190.00,129.20,Yok,0.0
Anadolu Rüyası,Lando Yayınları,F. Mert Erdoğan,210.00,142.80,Yok,0.0
Türk Dünyası Şiir Antolojisi Özbek Şiiri,Türk Dil Kurumu Yayınları,Aynur Öz Özcan,360.00,280.80,Yok,0.0
Adeta Bir Roman,Zet Yayınları,Sezer Yorgun,170.00,132.60,Yok,0.0
Oğlumla Başbaşa,Telos Yayıncılık,Kemal Ragıp Enson,240.00,175.20,Yok,0.0
Hakan’ı Kim Öldürdü?,Divit Kitabevi,Bilge Balkan,300.00,204.00,Yok,0.0
Kırmızı Kedi,Tilki Kitap,Onur Kopçak,320.00,208.00,Yok,0.0
Karlı Dağın Kralı,Alaska Yayınevi,Bayram Alacatlı,310.00,272.80,Yok,0.0
Şükürler Olsun ki Babam Beni Okutmadı,Zet Yayınları,Sezer Yorgun,170.00,132.60,Yok,0.0
Sürtük Nağmeli Sağdıç,Lando Yayınları,Çağrı Bihter Şenkul,170.00,115.60,Yok,0.0
Kavimler Pozu,Lando Yayınları,Kaan Uzun,175.00,119.00,Yok,0.0
Dilin Kamburuymuş,Telos Yayıncılık,Devrim Gür,150.00,109.50,Yok,0.0
Unutamam,Zinde Yayıncılık,Nevrettin Uludağ,200.00,136.00,Yok,0.0
Şiddetli Biçimsiz,Lando Yayınları,Burak Saltık,200.00,136.00,Yok,0.0
Eski Ocak,Telos Yayıncılık,Burhan Cahit Morkaya,250.00,182.50,Yok,0.0
Tepetaklak,Telos Yayıncılık,Mehmet Zeki Doğan,200.00,146.00,Yok,0.0
Sana Geldim,Zinde Yayıncılık,Nevrettin Uludağ,200.00,136.00,Yok,0.0
Annem,Zinde Yayıncılık,Nevrettin Uludağ,200.00,136.00,Yok,0.0
Ruhun Bütün Baykuşları,Bila Yayıncılık,Adem Tok,250.00,157.50,Yok,0.0
Gönül Pınarı,Zinde Yayıncılık,Nevrettin Uludağ,200.00,136.00,Yok,0.0
Mavera,Artshop Yayıncılık,Nejla Kor,250.00,157.50,Yok,0.0
Bir Resim Çizdim,Zinde Yayıncılık,Bahriye Gürpınar Geredeli,150.00,102.00,Yok,0.0
Bayan Nash’in Külleri,Artemis Yayınları,Sarah Adler,345.00,224.25,Yok,0.0
Kör Ben Aynam,Amore Yayınevi,Gülay Karaoğlu,196.00,196.00,Yok,0.0
Nicolas Poussin Şifresi Özet,Amore Yayınevi,Selçuk Fatih Abak,287.00,287.00,Yok,0.0
Beyza,Zinde Yayıncılık,Veli Talha Mutlu,250.00,170.00,Yok,0.0
Para Soygunu,Amore Yayınevi,Selçuk Fatih Abak,798.00,798.00,Yok,0.0
The Beautiful and Damned,Oxford University Press - Classics,F. Scott Fitzgerald,490.00,490.00,Yok,0.0
Madame Bovary,Oxford University Press - Classics,Gustave Flaubert,490.00,490.00,Yok,0.0
Yanık Atlas,Ayabakan Yayınları,Blake Butler,350.00,238.00,Yok,0.0
Akrebin Kıskacındaki Kadın,Yafes Yayınları,Sevgi Ataş,250.00,170.00,Yok,0.0
The Karamazov Brothers,Oxford University Press - Classics,Fyodor Dostoevsky,490.00,490.00,Yok,0.0
The Great Gatsby,Oxford University Press - Classics,F. Scott Fitzgerald,490.00,490.00,Yok,0.0
The Three Musketeers,Oxford University Press - Classics,Alexandre Dumas,490.00,490.00,Yok,0.0
Crime and Punishment,Oxford University Press - Classics,Fyodor Dostoevsky,490.00,490.00,Yok,0.0
David Copperfield,Oxford University Press - Classics,Charles Dickens,490.00,490.00,Yok,0.0
Bleak House,Oxford University Press - Classics,Charles Dickens,490.00,490.00,Yok,0.0
His Last Bow,Oxford University Press - Classics,Arthur Conan Doyle,490.00,490.00,Yok,0.0
A Study In Scarlet,Oxford University Press - Classics,Arthur Conan Doyle,490.00,490.00,Yok,0.0
Sister Carrie,Oxford University Press - Classics,Theodore Dreiser,490.00,490.00,Yok,0.0
Sherlock Holmes. Selected Stories,Oxford University Press - Classics,Arthur Conan Doyle,490.00,490.00,Yok,0.0
The Return Of Sherlock Holmes,Oxford University Press - Classics,Arthur Conan Doyle,490.00,490.00,Yok,0.0
My Bondage and My Freedom,Oxford University Press - Classics,Frederick Douglass,490.00,490.00,Yok,0.0
"Narrative Of the Life Of Frederick Douglass, an American Slave",Oxford University Press - Classics,Frederick Douglass,490.00,490.00,Yok,0.0
Boş Sandalye,Düş Kurguları Yayıncılık,Erhan Demirkoparan,250.00,157.50,Yok,0.0
Benden Bir Şeyler,Meşe Kitaplığı,Dilay Bilgili,150.00,117.00,Yok,0.0
Sesim Bende Kaldı,Armoni Yayıncılık,Arslan Kaya,390.00,265.20,Yok,0.0
Ruh Uçurumu,Armoni Yayıncılık,Mustafa Arslan,340.00,231.20,Yok,0.0
Venedik’in Ötesinde,Armoni Yayıncılık,Hakan Laloğlu,300.00,204.00,Yok,0.0
Türkçenin Sınırlarında Nöbet,Kaynak Yayınları,Kemal Ateş,200.00,136.00,Yok,0.0
Dual - Jaze,Lapis Kitap,Mısra Mutlu,449.00,224.50,Yok,0.0
Filistin Diriliş İlahileri,Kaynak Yayınları,Hüseyin Haydar,220.00,149.60,Yok,0.0
Otelde Cinayet,İkinci Adam Yayınları,Yusuf Şimşek,230.00,149.50,Yok,0.0
Arıza Kelebekler,Karina Yayınevi,Didem Tomaslar,150.00,109.50,Yok,0.0
Kirpik ve Roma,Karina Yayınevi,Furkan Bulut,130.00,94.90,Yok,0.0
Defter-i Uşşak’dan Seçmeler,Değişim Yayınları,Orhan Alimoğlu,290.00,229.10,Yok,0.0
Sana Ben Lazım,Düş Kurguları Yayıncılık,Umut Aydın,400.00,252.00,Yok,0.0
Bir Cumhuriyet Öğretmeni Namık Ayas’ın Gözüyle Konya,Çizgi Kitabevi Yayınları,Mustafa Özcan,300.00,249.00,Yok,0.0
Yarım Kalmış Bir Anadolu Hikâyesi Muhsin Yazıcıoğlu,Kitap Arası,B. Berkcan Karacaoğlu,280.00,232.40,Yok,0.0
Tom Jones,Oxford University Press - Classics,Henry Fielding,490.00,490.00,Yok,0.0
Şairin İlham Perileri,Urzeni Yayıncılık,A. Altan Ekşioğlu,19.00,14.82,Yok,0.0
Hataylı Aşık Hafız Hoca,Çizgi Kitabevi Yayınları,Damlanur Küçükyıldız Gözelce,200.00,166.00,Yok,0.0
Taş Konak,Urzeni Yayıncılık,A. Altan Ekşioğlu,19.00,14.82,Yok,0.0
The Princesse de Cleves,Oxford University Press - Classics,Madame de Lafayette,490.00,490.00,Yok,0.0
Medea and Other Plays,Oxford University Press - Classics,Euripides,490.00,490.00,Yok,0.0
Aşk Olsun Sana,Düş Kurguları Yayıncılık,Alptekin Topal,240.00,151.20,Yok,0.0
The Count Of Monte Cristo,Oxford University Press - Classics,Alexandre Dumas,490.00,490.00,Yok,0.0
Daniel Deronda,Oxford University Press - Classics,George Eliot,490.00,490.00,Yok,0.0
"The Lifted Veil, and Brother Jacob",Oxford University Press - Classics,George Eliot,490.00,490.00,Yok,0.0
Yıkım 04.17,Düş Kurguları Yayıncılık,Mehmet Köseoğlu,250.00,157.50,Yok,0.0
Confessions Of an English Opium-Eater and Other Writings,Oxford University Press - Classics,Thomas De Quincey,490.00,490.00,Yok,0.0
Pere Goriot,Oxford University Press - Classics,Honore de Balzac,490.00,490.00,Yok,0.0
A Day In The Country and Other Stories,Oxford University Press - Classics,Guy de Maupassant,490.00,490.00,Yok,0.0
Five Plays,Oxford University Press - Classics,Anton Chekhov,490.00,490.00,Yok,0.0
About Love and Other Stories,Oxford University Press - Classics,Anton Chekhov,490.00,490.00,Yok,0.0
Çintıl`ın Gizli Dünyası,Bilge Tasarı Yayınevi,Nisan Bal Atalay,299.00,218.27,Yok,0.0
Heart Of Darkness and Other Tales,Oxford University Press - Classics,Joseph Conrad,490.00,490.00,Yok,0.0
Letters From an American Farmer,Oxford University Press - Classics,J. Hector St John de Crevecoeur,490.00,490.00,Yok,0.0
The Woman in White,Oxford University Press - Classics,Wilkie Collins,490.00,490.00,Yok,0.0
Victory,Oxford University Press - Classics,Joseph Conrad,490.00,490.00,Yok,0.0
Bir İstihbaratçının Yaşam Öyküsü,Mahlas Yayınları,Ferhat Yaman,305.00,237.90,Yok,0.0
Kendime Sesleniyorum,İştirak Yayınevi,Sema Şentürk,220.00,149.60,Yok,0.0
Gulyabani,Tedev Yayınları,Hüseyin Rahmi Gürpınar,110.00,85.80,Yok,0.0
The Moonstone,Oxford University Press - Classics,Wilkie Collins,490.00,490.00,Yok,0.0
Ayın Tutulduğu Gece,Tedev Yayınları,Nevruz Necefoğlu,165.00,128.70,Yok,0.0
İçimizdeki Şeytan,Tedev Yayınları,Sabahattin Ali,140.00,109.20,Yok,0.0
Bir Tutam Tuzlu Hayat,Efsus Yayınları,Ebru Elmaskeser,120.00,81.60,Yok,0.0
Tarzan Of The Apes,Oxford University Press - Classics,Edgar Rice Burroughs,490.00,490.00,Yok,0.0
Ekşi Tatlı Bağımızın Koruğu Avanos Anıları,Kekeme Yayınları,Muhammer Gürdal,400.00,272.00,Yok,0.0
The Pilgrim`s Progress,Oxford University Press - Classics,John Bunyan,490.00,490.00,Yok,0.0
Üç Kız Kardeş,The Kitap Genç,Anton Çehov,139.00,90.35,Yok,0.0
Suç ve Ceza,The Kitap Genç,Fyodor Dostoyevski,139.00,90.35,Yok,0.0
Savaş ve Barış,The Kitap Genç,Lev Tolstoy,139.00,90.35,Yok,0.0
Oblomov,The Kitap Genç,İvan Aleksandroviç Gonçarov,139.00,90.35,Yok,0.0
Babalar ve Oğullar,The Kitap Genç,İvan Turgenyev,139.00,90.35,Yok,0.0
Yeon’un Mektubu,Athica Yayınları,Cho Hyeona,440.00,330.00,Yok,0.0
Şüpheli X,Nox Yayınları,Keigo Higashino,340.00,170.00,Yok,0.0
Troçki Evi,Destek Yayınları,Önay Yılmaz,280.00,196.00,Yok,0.0
Batman: Wayne Ailesi Maceraları 1,Athica Yayınları,Payne,390.00,292.50,Yok,0.0
Red Hood: Kanunsuzlar 1,Athica Yayınları,Patrick R Young,390.00,292.50,Yok,0.0
Son Sır,Od Kitap,Mustafa Tunçay,480.00,374.40,Yok,0.0
Avın Fısıltısı,Koronis Yayınları,Amanda Rıchardson,349.00,349.00,Yok,0.0
Galaktik Demiryolu’nda Gece,Ren Kitap,Kenji Miyazawa,100.00,55.00,Yok,0.0
Irkalla,Od Kitap,İsmail Zeki Erdoğan,620.00,483.60,Yok,0.0
Ben Bir Kediyim,Ren Kitap,Natsume Soseki,120.00,66.00,Yok,0.0
Soytarı Çiçekleri,Ren Kitap,Osamu Dazai,100.00,55.00,Yok,0.0
İnsanlığımı Yitirirken,Ren Kitap,Osamu Dazai,120.00,66.00,Yok,0.0
Mürebbiye,Tedev Yayınları,Hüseyin Rahmi Gürpınar,120.00,93.60,Yok,0.0
Kuyruklu Yıldız Altında Bir İzdivaç,Tedev Yayınları,Hüseyin Rahmi Gürpınar,110.00,85.80,Yok,0.0
Batan Güneş,Ren Kitap,Osamu Dazai,140.00,77.00,Yok,0.0
Ses,Tedev Yayınları,Sabahattin Ali,70.00,54.60,Yok,0.0
Yolların Koruyucusu – Karanlığın Laneti,Perseus,Gürkan Taşcı,298.00,187.74,Yok,0.0
Şair Evlenmesi,Tedev Yayınları,Şinasi,80.00,62.40,Yok,0.0
Hayat Sadece Bir Rüya,Elpis Yayınları,Süleyman Bozbay,219.00,137.97,Yok,0.0
Bir Unutuşun Anatomisi,Ayrıkotu Yayınları,F. Mert Erdoğan,164.00,119.72,Yok,0.0
Umutla Bakmak,Elpis Yayınları,Büşra Ataş Erce,189.00,119.07,Yok,0.0
Tatar Saadet,Elpis Yayınları,Tankut Öztuna,196.00,123.48,Yok,0.0
Delilik Taşı,Everest Yayınları,Alejandra Pizarnik,275.00,178.75,Yok,0.0
Kuyucaklı Yusuf,Tedev Yayınları,Sabahattin Ali,130.00,101.40,Yok,0.0
Mavi Sakal’ın Şatosu,Everest Yayınları,Javier Cercas,425.00,276.25,Yok,0.0
Vatan Yahut Silistre,Tedev Yayınları,Namık Kemal,90.00,70.20,Yok,0.0
Benim Şuşa Destanım,Tedev Yayınları,Elçin Eskenderzade,180.00,140.40,Yok,0.0
Aurora Leigh,Oxford University Press - Classics,Elizabeth Barrett Browning,490.00,490.00,Yok,0.0
Çaldıran Ağıtı,Tedev Yayınları,Sabir Sarvan,250.00,195.00,Yok,0.0
The Tenant Of Wildfell Hall,Oxford University Press - Classics,Anne Bronte,490.00,490.00,Yok,0.0
Falaka,Tedev Yayınları,Ahmet Rasim,100.00,78.00,Yok,0.0
Shirley,Oxford University Press - Classics,Charlotte Bronte,490.00,490.00,Yok,0.0
Mars Savaşçısı,BilgeSu Yayıncılık,Edgar Rice Burroughs,265.00,193.45,Yok,0.0
Muallakat - Yedi Askı,Elips Kitap,İmru`u`l - Kays,240.00,163.20,Yok,0.0
Selected Poems-Du Bellay and Ronsard,Oxford University Press - Classics,Du Bellay,490.00,490.00,Yok,0.0
Oroonoko and Other Writings,Oxford University Press - Classics,Aphra Behn,490.00,490.00,Yok,0.0
Hunera Dil,Payiz Yayınları,Herdem Merwani,150.00,150.00,Yok,0.0
Hikayenin Başlangıcı Gidiş,Payiz Yayınları,İsmail Kardaş,200.00,200.00,Yok,0.0
Mire Helbeste Melaye Cızıri,Payiz Yayınları,Osman Kapan,350.00,350.00,Yok,0.0
Ateşe Dokunmak,Kaktüs Sanat,Victoria Lim,280.00,190.40,Yok,0.0
Kirli İyilik Umut,Alaska Yayınevi,Salih Kuvvetliışık,400.00,352.00,Yok,0.0
Tutarsız Kırıklar,Gece Kitaplığı,Berfu Çetin,112.00,67.20,Yok,0.0
Cotepeyv,Payiz Yayınları,Hasbey Köksal,425.00,425.00,Yok,0.0
Ateşin Veliahtı,Prime Kitap,Jasmine Walt,340.00,340.00,Yok,0.0
Ateşin Veliahtı Özel Baskı,Prime Kitap,Jasmine Walt,440.00,440.00,Yok,0.0
Edebiyat ve Ekoloji,Vakıfbank Kültür Yayınları,Hakan Yılmaz,240.00,168.00,Yok,0.0
Küçük Çisil,Alaska Yayınevi,Öznur Kars,239.00,210.32,Yok,0.0
Dune Resmi Çizgi Roman Uyarlaması,Eksik Parça Yayınları,Lilah Sturges,390.00,273.00,Yok,0.0
Hep Ben,Bilgi Yayınevi,Anooshirvan Miandji,165.00,120.45,Yok,0.0
Dicle’den Yükselen Feryat Hallac-ı Mansur,İnsan Yayınları,Ahmet Çelik,240.00,168.00,Yok,0.0
Suçlu-Sokakların Çocuğu 2 Kitap Bir Arada,Everest Yayınları,Orhan Kemal,575.00,373.75,Yok,0.0
Tut Ki Yalandı,Odessa Yayınevi,Nesil Güzel,270.00,210.60,Yok,0.0
Baş Saatler Orkestrası,Luna Yayınları,Hürcan Akgün,134.00,104.52,Yok,0.0
Reyhan,Mona Kitap,Hayri Kandemir,175.00,113.75,Yok,0.0
Gördün Mü Turnam,Luna Yayınları,Döndü Haydaroğlu,299.00,233.22,Yok,0.0
Unutulmaz Bir Yaz,Sonsuz Kitap Yayınları,Marilyn Pappano,300.00,150.00,Yok,0.0
Hayatımın Şansı,Sonsuz Kitap Yayınları,Marilyn Pappano,300.00,150.00,Yok,0.0
Dilden Dökülenler,Luna Yayınları,Adem Ali Kömürcü,164.00,127.92,Yok,0.0
Erzuruma Yolculuk,Dara Yayınları,Aleksandr Sergeyeviç Puşkin,180.00,122.40,Yok,0.0
Klasik Türk Edebiyatı Araştırma Yöntemleri,Eser Kitap,Selami Ece,1.250.00,850.00,Yok,0.0
Sonsuzu Bölen Bir,Lando Yayınları,Mustafa Erdiken,200.00,136.00,Yok,0.0
Bu-This,Lando Yayınları,Nihat Özdal,260.00,176.80,Yok,0.0
2025’de Çıkan Her Hangi Bir Kitap,Lando Yayınları,Umut Yalım,200.00,136.00,Yok,0.0
Yedinci Günün Esrarı,Lando Yayınları,Tekin Yaman,200.00,136.00,Yok,0.0
Kaspar,Na Yayınları,Peter Handke,250.00,195.00,Yok,0.0
Conatus’un Cebi,Lando Yayınları,Sercan Kerinç,260.00,176.80,Yok,0.0
Bir Haziran Sabahı,Lando Yayınları,Engin Topuz,240.00,163.20,Yok,0.0
Landayi,Na Yayınları,Kolektif,250.00,195.00,Yok,0.0
Katilin Güncesi,Ulysses Yayınları,Kevser Deveci,190.00,148.20,Yok,0.0
Çoban Yıldızı,Elips Kitap,Mahmut Yesari,440.00,299.20,Yok,0.0
Dört Çeyrek 1,Ephesus Yayınları,Azra İzgüner,389.00,252.85,Yok,0.0
PostKolonyal Edebiyatta Dini Kimlik,Eski Yeni Yayınları,Rızkan Tok,300.00,225.00,Yok,0.0
Dört Çeyrek 1 Hediyeli Kutu,Ephesus Yayınları,Azra İzgüner,519.00,337.35,Yok,0.0
Özgürlüğü Ararken,Nas Ajans Yayınları,Mahmut Karabag,300.00,300.00,Yok,0.0
Anu,Varyant Yayıncılık,Arzu Onay,350.00,273.00,Yok,0.0
Çeven Mishefe,Payiz Yayınları,Şenol Bali,185.00,185.00,Yok,0.0
Hesten Xali,Payiz Yayınları,Muqades Agiri,150.00,150.00,Yok,0.0
Siya Direj,Payiz Yayınları,Kadir Çelik,180.00,180.00,Yok,0.0
13 Sireke Hezar Sali,Payiz Yayınları,İkram Balekani,400.00,400.00,Yok,0.0
Sinoren Bederi,Payiz Yayınları,Necat Baysal,185.00,185.00,Yok,0.0
Yorgun Topraklar,Payiz Yayınları,Yusuf Baran Beyi,350.00,350.00,Yok,0.0
Mêşo,Payiz Yayınları,Çore Arda,200.00,200.00,Yok,0.0
Duygu Zaman Anlamsallığı,Payiz Yayınları,Kerem Çiftçioğlu,250.00,250.00,Yok,0.0
Toprağın Öptüğü Seher Kuşları -1,Payiz Yayınları,Yusuf Baran Beyi,185.00,185.00,Yok,0.0
Nevala Xeyalan,Payiz Yayınları,Sultan Yaray,180.00,180.00,Yok,0.0
Aynanın Uykusunda,Payiz Yayınları,İlhami Sidar,250.00,250.00,Yok,0.0
Çığlık rap-rapsodi,Lando Yayınları,Pelin Özer,180.00,122.40,Yok,0.0
Ali Zelili`nin Niyazü`l-Müznibin’i,Fenomen Yayıncılık,Nilay Kınay Civelek,600.00,498.00,Yok,0.0
Rus Halk Masallarında Mitolojik Kadınlar,Fenomen Yayıncılık,Ezgihan Mertoğlu Çakır,220.00,182.60,Yok,0.0
"Ekoloji Perspektifinden Kültür, Edebiyat ve Dil Çalışmaları",Fenomen Yayıncılık,Kollektif,300.00,249.00,Yok,0.0
Düşyokuş,Sarmal Kitabevi,Nurhan Özgel,150.00,117.00,Yok,0.0
Son Işık Da Söndü,Sarmal Kitabevi,Yaşar Onay,200.00,156.00,Yok,0.0
Fındıkkıran ve Farelerin Kralı,Sarmal Kitabevi,Ernst Theodor Wilhelm Hoffmann,400.00,312.00,Yok,0.0
Serapionun Hikayesi,Sarmal Kitabevi,Ernst Theodor Wilhelm Hoffmann,300.00,234.00,Yok,0.0
Aksakal Sokağı Yanıyor,Gece Kitaplığı,Hülya Bartu,161.00,96.60,Yok,0.0
Veri Mezarları,Gece Kitaplığı,Tolga Depci,231.00,138.60,Yok,0.0
Udi Alibey`in Şiirleri,Gece Kitaplığı,Ali Ersin Kavafoğlu,182.00,109.20,Yok,0.0
Mezarı Yoktu Çocukların,Ebabil Yayınları,Yunus Emre Altuntaş,100.00,78.00,Yok,0.0
Babam Ali Ulvi Kurucu,Erguvan Yayınevi,Sare Kurucu Bulut,180.00,122.40,Yok,0.0
Mor Menekşe Konağı,Değişim Yayınları,Özlem Artoksi,200.00,158.00,Yok,0.0
Düşlerle Dolu,Tilki Kitap,Arda Yılmaz,190.00,123.50,Yok,0.0
Sessiz Yolcu-Şiirler,Yuva Yayınları,Tacettin Akkuş,149.90,91.44,Yok,0.0
Sahan Külbastı,Elips Kitap,Memduh Şevket Esendal,280.00,190.40,Yok,0.0
Terapi Sensin,İkinci Adam Yayınları,Nursen Yeşim Özdemir,333.00,216.45,Yok,0.0
Yaprak Daha Düşmedi,İkinci Adam Yayınları,Serdar Dönertaş,250.00,162.50,Yok,0.0
Şaman,İkinci Adam Yayınları,Mehmet Canbaz,350.00,227.50,Yok,0.0
Yörük Gızı Silifke,Gülnar Yayınları,Esma Deveci,300.00,219.00,Yok,0.0
Harabat,İkinci Adam Yayınları,Fatih Diler,160.00,104.00,Yok,0.0
Etimolojik Sözlük Numunesi,Gülnar Yayınları,Bahaeddin Sağlam,390.00,284.70,Yok,0.0
Mandala,Sidelya Yayınları,Cafer Demirtaş,175.00,175.00,Yok,0.0
İnsan Sevmekle Temizlenir,Sidelya Yayınları,Metin Benlier,175.00,175.00,Yok,0.0
Naruto 57. Cilt,Gerekli Şeyler Yayıncılık,Masaşi Kişimoto,170.00,125.80,Yok,0.0
Çeşm-i Naz,Tilki Kitap,Ceylan Köse,145.00,94.25,Yok,0.0
İçimde Sana Benzeyen Bir Yer Var,Tilki Kitap,Afkan Topal,200.00,130.00,Yok,0.0
Erkam`ın İzinde,Beyan Yayınları,Erbay Kücet,265.00,172.25,Yok,0.0
Lanzarote Defterleri 2. Kitap,Kırmızı Kedi Yayınevi,Jose Saramago,350.00,210.00,Yok,0.0
Sherlock Holmes - On İki Macera Bir Arada,The Kitap Genç,Sir Arthur Conan Doyle,169.00,109.85,Yok,0.0
Blacksad 6 - O Zaman Her Şey Yıkılır Birinci Bölüm,Yapı Kredi Yayınları,Juan Diaz Canales,220.00,132.00,Yok,0.0
Z Bakış,Kırmızı Kedi Yayınevi,Esila Ayık,150.00,90.00,Yok,0.0
Sonsuzluk Odası,Presstij Kitap,Ümit Kireççi,220.00,154.00,Yok,0.0
The Whisperer,Mimas Yayınları,Erinç Büyükaşık,310.00,241.80,Yok,0.0
Geçmişten Geleceğe Medeniyetin Mimarları,İnkılap Kitabevi,Betül Düztepe,280.00,196.00,Yok,0.0
Türk Dünyası Çalışmaları,Paradigma Akademi Yayınları,Kolektif,500.00,400.00,Yok,0.0
The Wonderful Wizard of Oz,YDS Publishing,Lyman Frank Baum,180.00,158.40,Yok,0.0
Mai ve Siyah,Paradigma Akademi Yayınları,Halid Ziya Uşaklıgil,200.00,200.00,Yok,0.0
The Invisible Man B1 - Level 5,YDS Publishing,Herbert George Wells,210.00,184.80,Yok,0.0
The War Of The Worlds B2 - Level 6,YDS Publishing,Herbert George Wells,210.00,184.80,Yok,0.0
The Thirty-Nine Steps B1 - Level 4,YDS Publishing,John Buchan,180.00,158.40,Yok,0.0
Cranford B1 - Level 5,YDS Publishing,Elizabeth Cleghorn Gaskell,210.00,184.80,Yok,0.0
Aşk-ı Memnu,Paradigma Akademi Yayınları,Halid Ziya Uşaklıgil,250.00,250.00,Yok,0.0
Çetin Altan: Yazıya Adanmış Bir Hayat,Paradigma Akademi Yayınları,Fatma Şen Akdemir,900.00,720.00,Yok,0.0
Eylül,Paradigma Akademi Yayınları,Mehmet Rauf,180.00,180.00,Yok,0.0
Bali Bahru`n-Naṣayiḥ,Paradigma Akademi Yayınları,Dilek Herkmen,850.00,680.00,Yok,0.0
Ahmet Yurt Dede,Paradigma Akademi Yayınları,Muhammet Faruk Ekici,550.00,440.00,Yok,0.0
Kaybolan,Mimas Yayınları,Erinç Büyükaşık,400.00,312.00,Yok,0.0
Yaraların Belleği,Mimas Yayınları,Selman Büyükaşık,320.00,249.60,Yok,0.0
İnsan Hatırlandıkça Yaşar Cengiz Aytmatov Roza Aytmatova & Asan Ahmatov,Paradigma Akademi Yayınları,Kollektif,250.00,200.00,Yok,0.0
Ev Arkadaşım,Dokuz Yayınları,Gonca Çakır,300.00,150.00,Yok,0.0
Ev Arkadaşım,Dokuz Yayınları,Gonca Çakır,390.00,195.00,Yok,0.0
Sonrası Şiir,Mimas Yayınları,Aylin Yılmazer,290.00,226.20,Yok,0.0
Ev Arkadaşım Kutulu Set 3 Kitap,Dokuz Yayınları,Gonca Çakır,1.150.00,575.00,Yok,0.0
Min Navek Nedit Jı Bo Te,Payiz Yayınları,Mehmet Bulut,250.00,250.00,Yok,0.0
Azade,Mimas Yayınları,Erdal Keskin,320.00,249.60,Yok,0.0
Tuz Baskı,Mimas Yayınları,Esra Başak Yılmazer,400.00,312.00,Yok,0.0
Hızlı Okumanın Alfabesi,Doruk Yayınları,François Richaudeau,100.00,100.00,Yok,0.0
Spiroj,Payiz Yayınları,Nûdem hezex,200.00,200.00,Yok,0.0
Pexembere Jibirçuyi Mani,Payiz Yayınları,Kamran Simo Hedili,350.00,350.00,Yok,0.0
Gulçiçeka Dilan,Payiz Yayınları,Abdurrakip Yuksekbag,300.00,300.00,Yok,0.0
Diyariyen Şeve,Payiz Yayınları,İlhan Dayan,150.00,150.00,Yok,0.0
Qerineke Bedeng Rındexan,Payiz Yayınları,Kamran Simo Hedili,300.00,300.00,Yok,0.0
Ben Kendim Öteki,Payiz Yayınları,Leyla Atabay,325.00,325.00,Yok,0.0
Bir Kibritle Yok Olmak Serisi - Üç Kitaplık Hediyeli Kutu,Guardian,Özge Naz,1.327.00,796.20,Yok,0.0
Bir Kibritle Yok Olmak 3,Guardian,Özge Naz,399.00,239.40,Yok,0.0
Gönül Kaçanı Kovalar,Elips Kitap,Memduh Şevket Esendal,320.00,217.60,Yok,0.0
Bir Kibritle Yok Olmak 3,Guardian,Özge Naz,369.00,221.40,Yok,0.0
Bir Kibritle Yok Olmak 3 - Hediyeli Kutu,Guardian,Özge Naz,529.00,317.40,Yok,0.0
Bir Kibritle Yok Olmak 3 - Hediyeli Yan Boyamalı Kutu,Guardian,Özge Naz,609.00,365.40,Yok,0.0
Bir Kibritle Yok Olmak 3 - Yan Boyamalı,Guardian,Özge Naz,479.00,287.40,Yok,0.0
Zihin Bahçemde Üç Çayı,Lando Yayınları,Melis Demir,200.00,136.00,Yok,0.0
Kabul,Lando Yayınları,Berna Kahraman,200.00,136.00,Yok,0.0
Büyü Haritaları Pafta I.,Lando Yayınları,Nur Alan,190.00,129.20,Yok,0.0
En Genç,Lando Yayınları,Gültekin Emre,200.00,136.00,Yok,0.0
Requiem,Lando Yayınları,Enis Batur,220.00,149.60,Yok,0.0
Alegria,Lando Yayınları,Zehra Güngör,200.00,136.00,Yok,0.0
Tavşanlara Göz Kırpın,Lando Yayınları,Ercan Şeherli,200.00,136.00,Yok,0.0
İnsandan Sonra,Lando Yayınları,Selcan Peksan,200.00,136.00,Yok,0.0
Eksik,Lando Yayınları,Ayberk Köklü,180.00,122.40,Yok,0.0
Çingenenin Çiçekleri Taş,Lando Yayınları,Lara Lakay,175.00,119.00,Yok,0.0
Titreşir,Lando Yayınları,Anita Sezgener,140.00,95.20,Yok,0.0
